programming e-books list,,,,,,
Title,Language  or Topic,ISBN,State,Author,Publisher,Category
Build an API product,"General, API",978-1-83763-044-8,Not started,Bruno Pedro,<packt>,API
The design of web APIs,"General, API",9781617295102,Not started,Arnaud Lauret,MANNING,
Designing APIs with Swagger and OpenAPI,"General, API",9781617296284,Not started,Joshua N. Ponelat,MANNING,
Learn C the hard way,C,9781617295102,Not started,Zed A. Shaw Lukas Rosenstock,Addison-Wesley,syntax basic concepts
C# and Algorithmic Thinking for the complete beginner,C#,979-8865989462,Not started,Arsitides S. Bouras,<packt>,
C# Interview Guide,C#,978-1-80512-046-9,Not started,Konstantin Semenenko,<packt>,
Programming APls with C# and.NET ,"C#, API",978-1-83546-885-2,Not started,Jesse Liberty Joseph Dluzen,<packt>,
C++ Without fear,C++,,Not started,Brian Overland,Addison-Wesley,
Learning Core DNS,"CoreDNS, Cloud",978-1-492-04796-4,Not started,John Belamaric & Cricket Liu,O`REILLY,
Cloud penetration Testing ,"Cloud, Testing, Cyber Security",978-1-80324-848-6,Not started,Kim Crawley,<packt>,
Pentesting APIs,"API, Testing",978-1-83763-316-6,Not started,Mauricio Harley,<packt>,
CyberSecurity Blue Team Strategies,Cyber Security,978-1-80107-247-2,Not started,Kunal Sehgal | Nikolaos Thymianis,<packt>,
Grokking web application Security,Cyber Security,9781633438262,Not started,Malcom McDonald,MANNING,
Docker Up & Running,docker,978-1-492-03673-9,Not started,Sean P. Kane & Karl Matthias,O`REILLY,
GraphQL Best practices,GraphQL,978-1-83546-714-5,Not started,Artur Czemiel,<packt>,
Full Stack GraphQL applications,"GraphQL, React Js, Node.js",9781617297038,Not started,William Lyon,MANNING,
grep pocket reference,"Grep, Pocket reference, Command Line",978-0-596-15360-1,Not started,John Bambeneck,O`REILLY,
Web Design Playground,"HTML, CSS",9781617294402,Not started,Paul McFredies,MANNING,
97 Things every JAVA programmer should know,JAVA,978-1-491-95269-6,Not started,Various,O`REILLY,
JAVA cookbook ,JAVA,978-1-492-07258-4,Not started,Ian F. Darwin,O`REILLY,
Learning JAVA ,JAVA,978-1-098-14553-8,Started,Marc Loy,O`REILLY,
Think JAVA ,JAVA,978-1-492-07250-8,Not started,Allen B. Downey,O`REILLY,
Reactive Systems in JAVA,JAVA,978-1-492-09172-1,Not started,Clement Escoffier,O`REILLY,
Spring Boot 3.0 CookBook,"JAVA, Spring Boot",978-1-83508-949-1,Not started,Felip Miguel Puig,<packt>,
Begin to code with JavaScript,javascript,"978-0136870722",Not started,Rob Miles,Microsoft,
D3.js in action,javascript,9781617292118,Not started,Elijah Meeks,MANNING,
Functional programming in JavaScript,javascript,9781617292828,Not started,Luis Atencio,MANNING,
Get programming with JavaScript,javascript,9781617293108,Not started,John R. Larsen,MANNING,
The Jamstack Book,"javascript, API",9781617298882,Not started,Raymond Camdem,MANNING,
JavaScript on things,javascript,9781617293863,Not started,Lyza Danger Gardner,MANNING,
Secrets of the JavaScript Ninjas,javascript,9781617292859,Not started,John Resig,MANNING,
Single Page Web Applications,javascript,9781617290756,Not started,Michael S. Mikowski,MANNING,
Classic Shell Scripting,Linux,978-0-596-00595-5,Not started,Arnold Robbins,O`REILLY,
Learning the bash shell ,"Linux, Bash",978-0-596-00965-6,Not started,Cameron Newban,O`REILLY,
Linux device drivers,Linux,978-0-596-00590-0,Not started,Jonathan Corbet,O`REILLY,
Linux in a nutshell,"Linux, Pocket reference",978-0-596-15448-6,Not started,Ellen Siever,O`REILLY,
Linux System Programming,Linux,978-1-449-33953-1,Not started,Robert Love,O`REILLY,
Unix Power Tools,UNIX,978-0-596-00330-2,Not started,Shelley Powers,O`REILLY,
Network Programmability and Automation,Network,978-1-491-93125-7,Not started,Jason Edelman,O`REILLY,
PostgreSQL: Up and Running,PostgreSQL,978-1-491-96341-8,Not started,Regina Obe & Leo Hsu,O`REILLY,
Learn Python the hard way,Python,978-0-321-88491-6,Started,Zed A. Shaw ,Addison-Wesley,
Think Python,Python,978-1449330729,Started,Allen B. Downey,O`REILLY,
Python Crash Course,Python,978-1-59327-603-4,Started,Eric Matthes,No Starch Press,
React Hooks in Action,React Js,9781617297632,Not started,John Larsen,MANNING,
React in Depth,React Js,9781633437340,Not started,Morten Barklund,MANNING,
React Quickly,React Js,9781633439290,Not started,Morten Barklund,MANNING,
Rails Crash Course,RUBY, 978-1-59327-623-2,Not started,Anthony Lewis,No Starch Press,
Ruby by example,RUBY,978-1-59327-160-2,Not started,Kevin C. Baird,No Starch Press,
Ruby on Rails Tutorial 7e,RUBY,,Not started,Michael Hartl,Addison-Wesley,
Rust Web development,Rust,9781617299001,Not started,Bastian Gruber,MANNING,
The art of Unit Testing with examples in Js,"Testing, javascript",9781617297489,Not started,Roy Osherove,MANNING,
Essential TypeScript 5 ,TypeScript,9781633437319,Not started,Adam Freeman,MANNING,
Build a Front End Framework,,9781633438064,Not started,Angel Sola,MANNING,
Building User Friendly DSLS,,9781617296475,Not started,Meinte Boersna,MANNING,
C++ High Performance,C++,,Not started,Bjorn Andrist,<packt>,
The C++ Workshop,C++,,Not started,Dale Green,<packt>,
Beggining C++ Game Programming,C++,,Not started,John Horton,<packt>,
Shell Programming in Linux Unix and OS X,"Linux, Command Line",,Not started,Stephen G. Kochan,Addison-Wesley,
TCP/IP illustrated Volume 1,TCP/IP,,Not started,Kevin R. Fall,Addison-Wesley,
,,,,,,
,,,,,,
,,,,,,
59,,,,,,